%% LaTeX2e file `data.dat'
%% generated by the `filecontents' environment
%% from source `thesis' on 2024/06/21.
%%
    Language,Popularity
    Python,3987109
    C,991275
    C#,810354
    Java,501827
    JavaScript,425887
    Ruby,397823
    PHP,191508
    C++,142663
    Shell,70669
    TypeScript,16178
